Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
33,Jawa Tengah,Cabai Rawit Merah,2021,Januari,"Rp70,517"
34,DI Yogyakarta,Cabai Rawit Merah,2021,Januari,"Rp71,851"
35,Jawa Timur,Cabai Rawit Merah,2021,Januari,"Rp67,847"
36,Banten,Cabai Rawit Merah,2021,Januari,"Rp78,639"
51,Bali,Cabai Rawit Merah,2021,Januari,"Rp73,149"
52,Nusa Tenggara Barat,Cabai Rawit Merah,2021,Januari,"Rp74,200"
53,Nusa Tenggara Timur,Cabai Rawit Merah,2021,Januari,"Rp64,867"
61,Kalimantan Barat,Cabai Rawit Merah,2021,Januari,"Rp91,692"
62,Kalimantan Tengah,Cabai Rawit Merah,2021,Januari,"Rp79,826"
63,Kalimantan Selatan,Cabai Rawit Merah,2021,Januari,"Rp79,389"
64,Kalimantan Timur,Cabai Rawit Merah,2021,Januari,"Rp69,587"
65,Kalimantan Utara,Cabai Rawit Merah,2021,Januari,"Rp83,332"
71,Sulawesi Utara,Cabai Rawit Merah,2021,Januari,"Rp67,512"
72,Sulawesi Tengah,Cabai Rawit Merah,2021,Januari,"Rp60,821"
73,Sulawesi Selatan,Cabai Rawit Merah,2021,Januari,"Rp46,463"
74,Sulawesi Tenggara,Cabai Rawit Merah,2021,Januari,"Rp49,440"
75,Gorontalo,Cabai Rawit Merah,2021,Januari,"Rp59,615"
76,Sulawesi Barat,Cabai Rawit Merah,2021,Januari,"Rp43,484"
81,Maluku,Cabai Rawit Merah,2021,Januari,"Rp78,676"
82,Maluku Utara,Cabai Rawit Merah,2021,Januari,"Rp83,200"
91,Papua Barat,Cabai Rawit Merah,2021,Januari,"Rp87,569"
94,Papua,Cabai Rawit Merah,2021,Januari,"Rp75,628"
11,Aceh,Daging Sapi Murni,2021,Januari,"Rp141,742"
12,Sumatera Utara,Daging Sapi Murni,2021,Januari,"Rp123,174"
13,Sumatera Barat,Daging Sapi Murni,2021,Januari,"Rp123,266"
14,Riau,Daging Sapi Murni,2021,Januari,"Rp124,382"
15,Jambi,Daging Sapi Murni,2021,Januari,"Rp123,132"
16,Sumatera Selatan,Daging Sapi Murni,2021,Januari,"Rp123,081"
17,Bengkulu,Daging Sapi Murni,2021,Januari,"Rp125,909"
18,Lampung,Daging Sapi Murni,2021,Januari,"Rp120,958"
19,Kepulauan Bangka Belitung,Daging Sapi Murni,2021,Januari,"Rp124,271"
21,Kepulauan Riau,Daging Sapi Murni,2021,Januari,"Rp132,367"
31,DKI Jakarta,Daging Sapi Murni,2021,Januari,"Rp121,254"
32,Jawa Barat,Daging Sapi Murni,2021,Januari,"Rp117,165"
33,Jawa Tengah,Daging Sapi Murni,2021,Januari,"Rp115,118"
34,DI Yogyakarta,Daging Sapi Murni,2021,Januari,"Rp120,241"
35,Jawa Timur,Daging Sapi Murni,2021,Januari,"Rp110,229"
36,Banten,Daging Sapi Murni,2021,Januari,"Rp119,478"
51,Bali,Daging Sapi Murni,2021,Januari,"Rp107,826"
52,Nusa Tenggara Barat,Daging Sapi Murni,2021,Januari,"Rp127,000"
53,Nusa Tenggara Timur,Daging Sapi Murni,2021,Januari,"Rp110,874"
61,Kalimantan Barat,Daging Sapi Murni,2021,Januari,"Rp136,937"
62,Kalimantan Tengah,Daging Sapi Murni,2021,Januari,"Rp139,237"
63,Kalimantan Selatan,Daging Sapi Murni,2021,Januari,"Rp128,507"
64,Kalimantan Timur,Daging Sapi Murni,2021,Januari,"Rp129,130"
65,Kalimantan Utara,Daging Sapi Murni,2021,Januari,"Rp137,532"
71,Sulawesi Utara,Daging Sapi Murni,2021,Januari,"Rp117,068"
